1.316395 1.107936 9.597971 0.789989 2.213589 1.050563 12179.763378 12140.380000 13.485560 0.361268 0.328678 0.248870 -9.334832 7.254318 4.437084 10.676969 7.190720 134.875534 0.269016 6 MT1(2-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.260000 1.260000 35749.651298 0.726543 493550.062108 1.096894 4464739000000000000.000000 4464739000000000000.000000 1.325364 1.214255 -0.538187 -0.597123 0.951345 -0.466331 -0.739018 8.070029 7.945450 3031.053339 0.340459 2 SN1 SN2 
1.306755 1.107936 5.085135 0.343091 0.855356 1.046774 18341.630452 18305.590000 8.645076 0.160565 0.321000 0.027906 7.369325 0.235867 4.528984 10.368568 8.185093 126.704577 0.008118 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.295873 1.107936 7.962299 0.928157 1.679699 1.042477 244.510593 207.205100 10.543030 0.164511 -0.332550 -0.108642 -17.525909 -0.757247 5.533082 10.497832 7.787945 582.859389 0.736482 6 MT1(2-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.312162 1.107936 4.422493 0.713607 0.692960 1.048901 1391.903192 1356.215000 8.602848 0.163756 0.134263 -0.006686 5.234180 11.161929 18.054337 10.432903 8.205063 105.759234 0.123350 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.336064 1.107936 1.302129 0.224463 0.110168 1.058242 130.531395 99.090820 3.892142 -0.147470 -0.137368 0.269519 0.968298 10.212744 11.303804 10.337989 9.539984 724.163232 0.810524 6 MT1(2-1) SN1 CE2(13-4;13-7) MT2(13-8) MT2(13-9) SN2 
1.294707 1.107936 109.865317 0.977847 86.113272 1.042015 155751.376603 155714.500000 8.404951 -0.042206 0.186829 -0.204749 -4.356764 -6.876631 -18.503989 10.153825 8.165188 277.783418 0.213384 7 MT1(2-1) MT1(3-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.260000 1.260000 168513.395036 0.722886 5050974.063423 1.096894 2289395000000000032768.000000 2289395000000000032768.000000 4.486321 0.420516 -0.288068 -0.415027 0.419312 -0.285773 -0.415439 8.011597 7.659189 13001.856279 0.093757 2 SN1 SN2 
1.332826 1.107936 2.402898 0.601627 0.276353 1.056982 315.161902 283.667900 5.915825 0.256279 0.081588 0.426975 -12.557835 -1.923283 6.098547 10.749805 9.159239 104.194760 0.169685 6 MT1(2-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.320757 1.107936 1.646506 0.113326 0.157138 1.052272 336.464019 296.849600 14.390600 -0.158301 0.432240 0.456754 -2.266058 -0.536238 -1.670400 10.829388 7.024970 93.508999 0.154470 5 MT1(2-1) SN1 CE2(13-2;13-7) MT2(13-8) SN2 
