# event | chirp | +chirp | -chirp | z | +z | -z
"GW150914" 28.6  1.6  1.5  0.09  0.03 0.03
"GW151012" 15.2 2.0 1.1 0.21 0.09 0.09
"GW151226" 8.9 0.3 0.30.09 0.04 0.04
"GW170104" 21.5 2.1 1.7 0.19 0.07 0.08
"GW170608" 7.9 0.2 0.2 0.07 0.02 0.02
"GW170729" 35.7 6.5 4.7 0.48 0.19 0.20
"GW170809" 25.0 2.1 1.6 0.20 0.05 0.07
"GW170814" 24.2 1.4 1.4 0.12 0.03 0.04
"GW170818" 26.7 2.1 1.7 0.20 0.07 0.07
"GW170823" 29.3 4.2 3.2 0.34 0.13 0.14
